Unnamed: 0,Name of the hotel,Weighted value,Latitude,Longitude,Type,City,Cost,Link,Reviews,sentiment_score,Cluster
0,Novotel Hyderabad Airport,24426.0,17.44823,78.38381,Hotel,Hyderabad,11151,https://www.tripadvisor.in/Hotel_Review-g297586-d1148813-Reviews-Novotel_Hyderabad_Airport-Hyderabad_Hyderabad_District_Telangana.html,"Being a guest at Novotel hyderabad airport was very good experience I must stay their services are up to the mark and they are very good at their hospitality and their staff was very well mannered and always smiling in any situation.With Novotel it was my first stay and thy provid a very good service which is very appericated room was very good and hygienic amenities was little less but it is ohk throughout of my stay everything I perfect and goodPleasant stay good room good hotel like to givw 5 star to themfor their services and specially want to mentioned their staff service they are very cooperative and like to vist again in this hotel Regards Dr. S m BungGood memory with Novotel hyderabad airport it was a very good service provide by them I would like to suggest this hotel to everyone and their rooms and ambience was totally up to the mark good in every aspect checkin checkout everything was goodFantastic stay hotel was very good and entire hotel staff was friendly room checkin and checkout was fast room conditions was good they gave us good room with view food is good upon checkin all staff help us with luggage and escorting they are very good with their servicesWe were here for wedding check in and check out experience was awesome transportation services was excellent would like to thank front office team Mr Rishi and Ms.Swati for great service. I will recommend Novotel Hyderabad Airport to everyone.We visited the hotel and we are happy with the service, staff behaviour and hospitality. It was an amazing experience here. All things are beautiful. The ambiance is very much pleasant. We like the cleanliness in the hotelIt was a very good stay ,from checkin to checkout it was smooth we haven't face any single problem room facilities and food everything was so good I appreciate their hospitality they are very friendly with us they did not feels us a home away.Feels like home 🏡 best place to stay at Hyderabad me and my family enjoyed a lot here great experience with my family staffs are so kind and polite very amazing staffs specially front desk staffs are so kindIt was a very good hotel ,its a friends outing which drom chckin to check out very fast procedure ,room was very good and clean mantaintend pool .highly reccomnded hotel for very one . Five star for this prpoerty.",0.7,1
1,Novotel Hyderabad Convention Centre,17941.5,17.44534,78.46299,Hotel,Hyderabad,7080,https://www.tripadvisor.in/Hotel_Review-g297586-d613223-Reviews-Novotel_Hyderabad_Convention_Centre-Hyderabad_Hyderabad_District_Telangana.html,"It's was wonderful stay with Novotel this is my 2nd visit to Novotel and this time I had aa very good experience happyly stayed Room service vere good special mention to the guest relations team so happy to talk with there team kaveri armit and himadri they are always smiling face in the lobbyWith novotel it was my first stay and They provided a very good service which is very appreciated Room was very good and hygienic The amenities send bythe guest relation team was so pretty at the end would like to mention 2names armit and kaveri for there excellent service Angana was also awesome from housekeepingWhen traveling out of town with kid and parents one worrying questions is in mind I hope hotel was good with food and I m very choosy in meals thanks to Admit Kaur she help me to meet chef kailash and chef has taken care my preference so well and thank you admit for crafted amenities with gift so sweet of you God bless you soon I ll be coming for my leisure tripI really like the hotel, they have amazing pool area and Staff is really calm and help ful Armit kaur sangay Rahul from front desk were very helpful and arrange a good view room and my wife was very happyI was very happy to visit Novotel Hyderabad with my wife and kids. I came to celebrate my sons birthday and I was glad to celebrate in this hotel they made a wonderful decoration it’s was awesome specially the guest relation team Armit and Kaveri they made my day will be willing to visit againMost beautiful hotel nise friendly staff shout to Armit kour and kaveri. Nise supporting guest relation team who arrange memorable evening first visit to hotel come back again suggest to my friends to.Hospitality at the highest! Novotel has always been my choice of stay. This time I met Ms.Armit Kaur (who has attended me so well) and proved it worth Thank you Kaveri for helping with my luggage with great smileI came here for breakfast.. very good staff ... the food is also very tasty specially the upma dosa and our children also love the food staff santhosh and amith (manager) treated us good specially jyothi she treated us very wellit's was tasty and the stuff manager amit and staff person altaf and Jay were very good and polite staying is comfortable and very thing hygienic and everything is in quick responses the chef Kasumi was so quick and very respectful towards everyone even amit was so good to interactI came with my family to enjoy my birthday we have booked a room Mr Govind has helped me proper checkin helped me in knowing the places near by .the food provided by hotel was too good .i loved the stay",0.62,0
2,The Park Hyderabad,17010.0,17.44888,78.38395,Hotel,Hyderabad,6804,https://www.tripadvisor.in/Hotel_Review-g297586-d1674886-Reviews-The_Park_Hyderabad-Hyderabad_Hyderabad_District_Telangana.html,"Had a good experience in The Park Hyderabad and the breakfast buffet was fantastic. Dattu & Lalit gave a good service and the stay along with the food was excellent. It’s a good place to stay in Hyderabad !Everything’s so perfect 🫰far beyond all the expectations we had before actually coming here,all the staffs were so kind and have always ready to assist nature in them,we really appreciate the good deeds you all did to us in our 14 days of stay in the hotel. Haseena and Harish from housekeeping department did a very great job plus good attitude. We couldn’t remember all the names but still really wanna thank all the f and b staffs in verandah✨ Can’t really thank you all enough 💕 Room no 7015 Lamboineng Kipgen Nemneithem LuphoGood Ambience and very well mannered Staff. The facilities were impressive and relaxing. The food was also very good with authentic taste for all dishes. The reception desk was understanding and prompt. Mr.Sumon at the concierge desk was very polite and helpful too.Very nice hotel , The best thing is that the staff of @The Park Hyderabad are very helpful. Non-veg and veg are available everywhere but we also got the facility of complete pure veg( without onion and garlic) as well in this hotel. Especially thnx to @Jagannath Sethi, he is a very decent and caring guy; he took care of us very well. Overally my experience was incredible!!!Terrible hospitality and check in process is too slow . requested for an early check in and still waiting at the lobby I find taj much better hospitality wise and the way they treat their customers . Lady in the reception kept arguing about how they can’t accommodate the guests before 2 pm .The hotel was good but the rooms were not in good shape, hotel staff was not active at all. Only breakfast was good. Not recommend unless you cannot find some other good hotel. It is not worth staying here for 10k rather go and stay in Taj.Had a great experience. Stayed here for 15 days. The room service and cleaning is top notch. Special thanks to Haseena and Harish. -Sejal (7026) Complimentary breakfast is good too. Recommended for family and friends.The room was spacious and luxurious, and I had a hard time leaving the breakfast buffet :) I especially appreciated the staff, who were kind and accommodating. Sumon kindly kept my bags safe while I waited to check in and helped coordinate my taxi to the airport. I'd happily stay here again :)The Good: 1. Our concierge, Sumon, was fantastic. He helped us on numerous occasions and we received 5 star service. 2. The Spa was wonderful. The massage was easy to schedule and the experience was great. 3. Front Desk was very helpful/quick and there was plenty of staff to assist all of the guests in a timely manner. 4. The room was spacious and had a beautiful bathroom and overall layout. The Bad: 1. Common areas including the lobby and hallways were under constant construction but somehow still looked dingy and ill maintained. It seemed a little run down and not 5-star level grand. 2. The restaurant was… 3 star. Service was slow and there was no direction regarding what guests should be doing (self-seating or waiting for a host). 3. I hate writing this because the…Its been pleasant stay at this property. I requested for a comfort stay and they upgraded for better experience. Breakfast is also good. Mattresses were comfortable. Only thing I didn’t like is the railwaytrack outside hotel.",0.58,1
3,"Taj Krishna, Hyderabad",16420.5,17.43154,78.37489,Hotel,Hyderabad,12632,https://www.tripadvisor.in/Hotel_Review-g297586-d304843-Reviews-Taj_Krishna_Hyderabad-Hyderabad_Hyderabad_District_Telangana.html,"It was a great experience. The ambience was stunning with a great and interactive staff. Ms. Swathi and team, IRD were amazing. The food was obviously amazing. I would love to visit again with my family.Had a very very pleasant night here. The dishes we ordered were very delicious and balanced in taste. The Ghazals sung by veteran artists were so soothing that it made the dinner memorable. Do visit here, very very recommended. We were hosted by - Amul GL Reddy Ghanshyam Gyani Chef Jahangir. Excellent service, we loved the food.The food is really the best. Chef khan sir served very nice dishes as per our customisation choices. Keep it up. Nice service and hospitality. Enjoyed live music. Ambience is really good. Keep it up.The property was very good,with a nice staff. The lobby area is very attractive in the hotel. The front office staff was very good. Nitu mam, Neeha and Pranathi helped a lot for our team regarding room Check in.I loved staying at Taj Krishna as they have the best staffs. The rooms are clean and pool also. The front office team Ishita, Neeha Vincent Divy Nitu are really helpful. They tried their level best to make our stay comfortable. I really appreciate their work and efforts. Thanks to all the staff.The staffs at Taj Krishna are really helpful. I would like to mention few names Neeha Ishita Vincent and Divy. They were really helpful to everyone. They took care of each one of our guest. I would like visit again.We have organised a wedding event and i must say the front office team helped with their best specially Neeha, Divy, vincent, ishita, nitu. Will surely come back again. The hotel is well maintained and clean as compared to other hotels i’ve visited. thanks to everyone for your co-operations..The Taj club. My favorite spot in the hotel. I loved what you served to eat, but I loved the people who served it even more. They were rock stars. So enjoyed a quiet place to enjoy supper and a drink and they made it feel like home. There was Kalyani and Dikshit . They were wonderful.I travelled all over the world for events I must say the service at Taj Krishna exception special thanks to Nitu who took care of our event very well Mr Vincent,Divy Neeha who were there through out the stay cheers to all last but not the list mahender and Sweta excellent 👌I have attended a wedding, Had a great time at the hotel. Everything was of top standard,nothing too much trouble , the decor was lovely, clean and maintained. The service by Nitu and divy was very pleasant.",0.58,1
4,"Red Fox Hotel, HITEC City",15736.5,17.44888,78.38395,Hotel,Hyderabad,7996,https://www.tripadvisor.in/Hotel_Review-g297586-d2018548-Reviews-Red_Fox_Hotel_HITEC_City-Hyderabad_Hyderabad_District_Telangana.html,"Room cleaning by Manoj maintained well., hygiene is maintained. Breakfast also variety items available Stay-3 days is pleasant. Parking is good Near metro available to travel. Near by shopping malls available if anything urgentChef jagat is excellent and very pleasing to serve all the dishes. Food by him is amazing and would recommend everyone to check him if you are here. Hotel has good rooms and they keep very tidy . Looking forward to comeback hereVery god hotel and very good food room is good Chef jagat very good natcher and good fiod chef sujal asish jahid prasejit And room servis is god or staf is a very good natcher thanku red fox hotel thank youInitially I had planned to stay here for 2 nights but for business reason I had to extend my stay for another 3 nights. Most I enjoyed the breakfast and very friendly staff. I would like to mention specially Manoj who I interacted. I needed some medicines and he went out of the way and arranged the same from outside. I highly recommend this hotel. This has become my most preferred hotel whenever I will visit Hyderabad next.Stay and food at red fox were amazing..food service in breakfast is amazing...excellent Chef Jagat is an amazing person who caters you the delicacy of North and South Indian foods..the taste is also very good.Good nice and breakfast compliment. Chef jagat food preparation is nice. Respect is cool.chef sujal balaram asish bipul abhijeeth treated nicely and food preparation is good All type of varieties including from veg is super.over all it is goodStay are fantastic, clean will good service. Rooms are cozy and comfortable. Nice dining, fantastic food and varieties, also it's well served. Recommended place to stay. Special Thanks to Chef Jagat, Jahid , Balaram, Prassonjit, Chef Sujal and Nikhil.Good service by team Aniket jahid siddhi prsanjit baleam snehashish chef sujal Food in breakfast dinner was good served with human touch by all ..team is competent and skilled Enjoyed the stay at hotel..Loved the way the staff was cordial and friendly. Enjoyed the stay during my business trip. The hospitality was excellent. Manoj Rawat was very courteous and wonderfully well spoken and served good. Will like to stay here again in the future as well.Stay was excellent. Clean rooms, good room service and good amenities. Hot water was available 24/7. Room was spacious. Hotel is close to hitech City and is well connected due to the location. Dining offered thoughtful options of food. Malabar fish curry and rice is a must try. Breakfast buffet is quite elaborate and delicious. Courteous staff. Thanks to Chef Suyal, Balaram, venu, swamy and Ashish!",0.7,1
5,Radisson Hyderabad Hitec City,13711.5,17.45913,78.45734,Hotel,Hyderabad,9027,https://www.tripadvisor.in/Hotel_Review-g297586-d2322506-Reviews-Radisson_Hyderabad_Hitec_City-Hyderabad_Hyderabad_District_Telangana.html,"Food menu selection and its taste is very bad. The hospitality and the service were good though. The food was seen to be good, but the taste is below average even after paying so much. Btw, it was a special dinner on the valentine’s occasion that we visited.food also too good chef makes specially chinese soup took good next time we r sure come serving also good sahin is very friendly she is very professional we will enjoy with her.next time we will sure come.The check took so long. When I got to the room the carpet was filthy. Bathroom tap was so dirty like it wasn't cleaned in years. The table had glass marks showing that it wasnt cleaned. The room was extremely noisy. Could hear the traffic all the time. I was calling the front desk but there was no answer. Finally had to go down to complain.They are clearly understaffed as they had just two people, out of which one had no clue about anything, so many guests waiting to check in.I was told by the guy at the front desk to complain about them being understaff. It's not my job the management should see this.I waited in the room till housekeeping was cleaning.After a long tiring day this is what the guest is expected to go through then there is no point staying there. The breakfast was…Uday Kumar gave us very excellent service. We enjoyed a lot. Beat date ever. Ambiance and food were also very good. So happy to be here. Most memorable date ever. Wine served was also nice. Great experience recommend to everyone.The rooms have a good vibe and the staff are very friendly. Interior of hotel is elegant and hand a great experience overall. On the downside there are repainted and old walls in certain parts of room.My overall experience was good at the hotel but at the time of check out at night one of the hotel staff namely Sandeep misbehaved with me. Such kind of behaviour is unacceptable from a staff who is working in one of the most prestigious chain of hotels. Not expected this kind of behaviour in such a reputed hotel.The hotel provides great service and has very helpful and friendly staff. 10/10 recommended! Plus the room is cleanly and comfortable. Will visit again and I recommend it to everyone who visits Hyderabad.The event happened in summit1 . It was really good. things are arranged very nicely. Food is really tasty. Well organised, polite Team is really cooperative and helpful Karthik and naresh saurabh thank you so muchwe are staying here from past 3days we enjoyed a lot I have very awesome experienced like this hospitality and good staff treat well. This was good place to visit and food was very good staff @santhosh and @shiva very hospitality..We had dinner in cascade it was lovely food and ambiance was too good ...the whole staff was too awesome... I would like to thanks to Mr santhosh and mr Shiva for giving us a wonderful experience through our stay",0.6,0
6,Taj Deccan,13315.5,17.4189,78.41243,Hotel,Hyderabad,8400,https://www.tripadvisor.in/Hotel_Review-g297586-d651507-Reviews-Taj_Deccan-Hyderabad_Hyderabad_District_Telangana.html,"We are here for family function …. We really enjoyed the party … food quality was excellent chefs are always taken care of us ….. sudeshna from HK always guide us and Sohail always done a nice room cleaning ….Mr. Agnidhar the incharge of housekeeping always taken care for us …. Thanks to all the associates of taj .. will come here soon after renovationHad a great time attending a family event in the hotel. Special shout out to Sahib Sk, Ravin and Mithun on the housekeeping team who were excellent at their jobs and went above and beyond to take care of our every need.Rupa and sudeshna give us a nice service … they brought a nice gift for my gopal … sohail also did a nice room service …… room service and food was anezing breakfast was also testy…. front ofice did a warm welcome we will surely come back to taj again …… @ Thanks To Team Housekeeping.. they are so polite and kind always active to give the all requests…….We are really happy to Stay at Taj deccan .... rooms are amazing. We love the interior... bed and everything is very comfortable.. Sohail and sahib is very kind ... housekeeping service was good .. sudeshna took special care of usExcellent.SK Sahib was very very helpful with room service and House Keeping.Wxcellent staff n locaion is awesome.We cecked in as family on valentine's day.My son so happy in swimming pool n children's play area. We were welcomed very nicelyIt has a great, wonderful and a very comfortable stay in the hotel. Bed was very comfortable.all the services given by the employees in the hotel was amazing as one can expect.sohail,sudeshna are the few names who were very courteous during the stay. Definitely recommend this hotel.Overall the stay in Taj Deccan was quite nice. Icing on the cake for us was the breakfast spread. Especially the filter coffee in the buffet section every morning👌 Couldn't resist having atleast 2 cups. Keep up the great taste!Though the hotel was undergoing renovations, the staff made up by being extremely hospitable and ensured guests weren’t disturbed much. The breakfast buffet had variety and Mr Venkat coaxed guests to try local delicacies. I did try Pesarattu, which was well made and worth a tryAmazing facility and service! Special acknowledgement to Sutapa, Arunima and Venkat for their wonderful service. Felt like family! Wonderful ambassadors for the Taj Deccan brand. A stay here is a memory not to be forgottenOur stay at Taj Deccan was really awesome. I have stayed at Taj Deccan few months ago, because of the excellent food and service I have chosen to come back. The staff is extremely polite and paying so much attention to detail. Mr. Venkat worked so hard to find a room for us during a very busy time. Chef’s Kumar’s made special pancakes that my kids always loved, they were so delicious. Guna’s meter coffee is so tasty and addicting, I never finish my breakfast without it. Rajini, Arunima and satya are so helpful with anything we ask. There were some issues with the rooms so we were shifted to another room with no issues. Overall a very comfortable and safe stay.",0.56,1
7,"Lemon Tree Premier, HITEC City, Hyderabad",12924.0,17.44091,78.34501,Hotel,Hyderabad,9135,https://www.tripadvisor.in/Hotel_Review-g297586-d1879037-Reviews-Lemon_Tree_Premier_HITEC_City_Hyderabad-Hyderabad_Hyderabad_District_Telangana.html,"Great experience ,great food I had in republic of noodles Dibyajyoti and team did a wanderful job and assist me to have the special dish of pan asian,love the the food ,love the staff.see you soon guys.definately I will suggest to all my friends to come and try .thanks dibya to make my day .Stayed for a couple of days. Ambience and service was great. Two things I like the most 1. Initiative of employing speech and hearing disabled staff - it was nice to see them getting an opportunity and they were also putting in their best efforts with a smile. 2. Short stories framed on the walls throughout the hotel even in the washrooms. About the food, the Citrus cafe and the Republic of Noodles were wonderful in terms of taste and service. Especially Syed Feroz, the supervisor of the Republic of Noodles was very polite and took good care of the customers.We stayed in this hotel for 2 nights and the stay was very comfortable and pleasant. The Breakfast was good. Wifi Connectivity was good. Room service was good. The only issue was with the Laundry. One item we gave was missing and we did not have the time to collect it. The Second issue was that we forgot our room charger there. We could not connect with them and neither the Hotel tried to connect with us regarding this. However, we enjoyed our stay.Hello i made a booking far a corporate event at lemon tree hi tech city hyderabad they are really very friendly and kind and made a huge help of mine to make a successful event staff like alok sandesh and sagar were very helpfulThe chef Shamsher Alam made customised jain and vegetarian food. Outstanding is the word. Chandu also served well. Thanks. Excellent black dal and tandoori roti. The overall ambience of the restaurant and the hotel as such was very good.Lemon Tree in Hitech City is choice to live in , stay was comfortable and rooms were very clean ,hotel staff was very friendly . ""Venkatram"" is from cleaning staff , does his job fabulously and food is also very good here . I loved my stay here .Great hotel and extremely helpful staff members.Both restaurants at the hotel premise are great and offer a wide variety of food options for guests.So happy to share my experience here.I would wish them lot of success and Lemon tree should have more employee like them.Very excellent experience. Honest staff . They perfectly clean the rooms. Very good food. Laundry service in hotel is so good. I feel like i am in my home. I suggest to lemontree everyone coming to Hyderabad.Review - Some of the facilities are good. House keeping is at the best. House keeping staf is maintaining clean and hygiene well. All the supportive staf is good. House keeping staff Asit was good at house keepingWe are friends went for dinner in republic of noodles had a wonderful experience here will visit again and had banana wish suggested by Syed Feroz and team and lovely ambience and other to mention was chandu and chef Vibuthi",0.62,1
8,The Golkonda Hotel,10156.5,17.38405,78.35888,Hotel,Hyderabad,10171,https://www.tripadvisor.in/Hotel_Review-g297586-d1652648-Reviews-The_Golkonda_Hotel-Hyderabad_Hyderabad_District_Telangana.html,"Food was good ,overall a good experience and attender sanny Singh was polite and prompt in providing all the food courses. Liked the ambience and service provided. Will definitely recommend to frends and family.The service from housekeeping is amazing and weel cleaned roomss.... Well behaved staff from housekeeping boys Uday and raghunandhan .... Good food ......... Thanku for such a great service I will visit again and againI was very happy with servie of housekeeping staff uday ,ramu and chandu they are very helpfully and caring and very polite and very respect and good hospatality from houseeeping ………… i want visit again again thank u golkonda for u r valuable service…….Amazing food and service .Enjoyed the time . Ambience is just incredible and the staff is very warm and cordial.Sunny Singh served us like his own family member.Would suggest people around Hyderabad to visit the place .Excellent authentic Hyderabadi cuisine. Great service to mention Mr sunny who was very polite and friendly with great service. A must visit for everyone wanting to taste great Hyderabadi food. Very centrally locatedIt was an excellent experience. I enjoyed the atmosphere. The food was delicious and I loved how quick all of our needs were taken care of. Additionally, it was all a reasonable price. Sammy Singh was an excellent server!Very fine specially House keeping make every thing in a very satisfying way specially Uday and Satya who provided service for my room are very well mannered and do there best I wish all the best for themOverall my stay is good . Hope to come back again staff and service is good I definitely recommend to anyone to come and stay . It is a good experience . I would like to thank Raju housekeeping supervisor.The room was cleant well by Sridhar. the tissues were replaced on time and he kept everything perfectly. Very pleased. The hotel upkeep is outstanding. Housekeeping department should be appropriated. Thank you for memorable stay.Room cleaning is very good ..... Highly recommended hotel ..... The location was very good Good and clean rooms..... The food is very tasty and delicious Especially hk boys Uday ,Sandeep and mousin Thank u for u r great service golkonda ...",0.78,1
9,"Lemon Tree Hotel, Gachibowli, Hyderabad",9904.5,17.42684,78.3355,Hotel,Hyderabad,9025,https://www.tripadvisor.in/Hotel_Review-g297586-d7171593-Reviews-Lemon_Tree_Hotel_Gachibowli_Hyderabad-Hyderabad_Hyderabad_District_Telangana.html,"The stay was really nice. House keeping department was so good. Mr. Akram and team really did a great job in maintaining clealiness of the hotel room. Hospitality is also commentable and quick respose from the team was also appreciated.The service was so good specially Pooja Mohan from housekeeping she was so good with her work appreciated Sneha Pandey 306 I love the work and she is very polite and humble and love the overall stayingFeedback for akram from housekeeping departmenthe is very humble and polite. I want to thank him for taking care of us and treating us well. I just want to say that stay same ........... Be kind to everyone .I was very happy with the service ,Akram from house keeping was very helpful and friendly. He took care of the food and other service with ease .very happy with the staff service and would love to come back again. Thank youI booked the room with dinner and breakfast, The room is too small and AC cooling was reduced for cost saving even outside temperature was better then room's. bathroom and towel was not clean. Dinner is having very few options non of the item was having taste. only one nonveg chicken starter and in main course only one nonveg chicken curry. Breakfast is just ok.Was a good stay, friendly staff and good food. The location is good, close to office and the rooms are clean. The gym, fitness and pool facilities are very good as well. Would recommend for business travellers.Saurav from House Keeping Team did a commendable job. He always helped and maintained the room so clean. His bed making skills are awesome. Just in 5 mins he will ready your bed. Overall a good experience.Lemon tree is really a good hotel with top class service for casual and business class. Amazing breakfast and room service. Hasibul Rahman did a good job in cleaning the room. It’s good to see a neat and tidy room the moment you enter the room after a hectic day👍. Would visit again for sure.We are stay here almost 15 days in this visit and staff is very co opertative specifically Mr. Raja Sarkar Uday always supporting and helping. Also, food and hotel room is comfortable. We truly recommend for personal or business stay.Akram, Shiva, Ganga raju, Pooja, Shankar : THANK YOU SO MUCH. APPRECIATE THE WONDERFUL HOSPITALITY GIVEN TO ME. FELT LIKE HOME. Uday Kumar Sah and Team from the Restaurant also took wonderful care of me with the delicious food and their never ending service. ""Atithi devo bhava"" still stands good in this Kalyug. Thanks Manish Shah +91 98224 95480",0.64,1
