Name_of_tourist_place,Latitude,Longitude,City,Cluster
 Borra caves ,18.28088645,83.03966165,Vishakapatnam,2
 Submarine Museum ,17.71859494,83.33121096,Vishakapatnam,0
 Kailasagiri ,17.75125145,83.34142418,Vishakapatnam,0
 Rishikonda Beach ,17.78247795,83.38515149,Vishakapatnam,0
 Yarada Beach ,17.6554093,83.27241924,Vishakapatnam,0
 Ramakrishna Beach ,17.71596261,83.32343255,Vishakapatnam,0
 Dolphin's nose ,17.67745014,83.2927164,Vishakapatnam,0
 Katiki Waterfalls ,18.28393789,82.99970674,Vishakapatnam,2
 Matsyadarshini Aquarium ,17.71395659,83.32168203,Vishakapatnam,0
  Indira Gandhi Zoological Park ,17.76991474,83.34642146,Vishakapatnam,0
  VUDA Park (Taraka Rama) ,17.73500944,83.34097805,Vishakapatnam,0
 Simhachalan Temple ,17.76696534,83.25151921,Vishakapatnam,0
 Lambasingi ,17.819596,82.49627336,Vishakapatnam,2
 Bheemilli beach ,17.89127829,83.45584915,Vishakapatnam,0
 War memorial ,17.71961853,83.33365376,Vishakapatnam,0
 Lawson's Bay Beach ,17.73484133,83.34085419,Vishakapatnam,0
 Kambalakonda Wildlife Sanctuary ,17.82770522,83.30603725,Vishakapatnam,0
 Bojjannakonda ,17.71182891,83.0189193,Vishakapatnam,0
 Ross Hill Church ,17.69145135,83.28949922,Vishakapatnam,0
 Sagar Nagar Beach ,17.76268989,83.36055628,Vishakapatnam,0
 TU 142 Aircraft Museum ,17.71868076,83.33200633,Vishakapatnam,0
 Tenneti Park ,17.74877329,83.35044938,Vishakapatnam,0
 Buddhist Excavation ,17.82554775,83.38936291,Vishakapatnam,0
 Gangavaram beach ,17.61945673,83.23411697,Vishakapatnam,0
 City Shopping ,17.69191237,83.19668406,Vishakapatnam,0
 Victory at Sea War Memorial ,17.7194959,83.33378251,Vishakapatnam,0
 Itika Pongal ,17.73526455,83.22121605,Vishakapatnam,0
 Bhavani Island ,16.52776845,80.5781527,Vijayawada,1
 Kanaka Durga Temple ,16.51676309,80.60728016,Vijayawada,1
 Undavalli Caves ,16.49829318,80.58364868,Vijayawada,1
 Kondapalli Fort ,16.62657701,80.53360982,Vijayawada,0
 Mogalarajapuram Caves ,16.50725748,80.64834713,Vijayawada,0
 Subramanya Swamy Temple ,16.5467099,80.64899023,Vijayawada,0
 Victoria Museum ,16.5089686,80.62972418,Vijayawada,0
 Besant Road ,16.51177536,80.62655376,Vijayawada,0
 Amaravathi ,16.51284033,80.52713797,Vijayawada,0
  Hinkar Thirtha ,16.37841315,80.52140956,Vijayawada,0
Gandhi Hill ,16.52103816,80.61838056,Vijayawada,0
Prakasam Barrage ,16.50810551,80.60618213,Vijayawada,0
Rajahmundry ,0,0,Vijayawada,1
Mangalgiri ,16.43421873,80.56312438,Vijayawada,0
Amravati Museum ,16.57547889,80.35810897,Vijayawada,0
Sri Ramalingeswara Swami vari Devasthanam ,16.55550663,80.72903559,Vijayawada,0
Lenin Statue ,16.51479087,80.62656018,Vijayawada,0
Hazrat Bal Mosque ,16.5203829,80.61502646,Vijayawada,0
Akkanna Madanna Caves ,16.51473698,80.60771167,Vijayawada,0
VMC Disney Land ,16.54040501,80.65730004,Vijayawada,0
Gunadala Matha Shrine ,16.52219661,80.66143296,Vijayawada,0
Haailand ,16.40781467,80.54365656,Vijayawada,0
 ISKCON Vijayawada ,16.49443805,80.64892845,Vijayawada,0
 Rajiv Gandhi Park ,16.50982486,80.6131663,Vijayawada,0
 Coringa Wildlife Sanctuary ,16.82211107,82.29975568,Kakinada,2
Shri Bhavanarayana Swamy Temple ,17.00215783,82.21969183,Kakinada,2
Pithapuram ,17.12151773,82.25525091,Kakinada,2
 Shopping in Kakinada ,16.96278344,82.23577191,Kakinada,2
 Bhimesvara Temple ,17.01313343,82.19868292,Kakinada,2
 Uppada Beach ,17.07772582,82.33555912,Kakinada,2
 Draksharamam ,16.78685488,82.05770548,Kakinada,2
 Adurru ,16.47849448,81.94667748,Kakinada,2
 Tour the Ramoji Film city ,17.40980905,78.46357891,Hyderabad,0
 Charminar ,17.36246453,78.4761665,Hyderabad,1
Enjoy the Show and Food at Hussain Sagar Lake ,17.37024353,78.48788176,Hyderabad,1
 Wonderla ,17.44930614,78.47877359,Hyderabad,1
 GravityZip ,17.39069146,78.32642968,Hyderabad,0
 Chowmahalla Palace ,17.35880617,78.47353502,Hyderabad,1
Golkonda Fort ,17.38384123,78.40203981,Hyderabad,0
 Statue of Equality ,17.18673819,78.33502899,Hyderabad,2
 Thrill City ,17.43614709,78.47522505,Hyderabad,1
Indulge in Various Activities of Shilparamam ,17.47320678,78.37686265,Hyderabad,0
 Birla Mandir ,17.40833808,78.46949541,Hyderabad,1
 Taramati Baradari ,17.37599145,78.37966196,Hyderabad,0
 Jala Vihar ,17.43258704,78.4648757,Hyderabad,1
 Chill at the Snow world ,17.41569381,78.48109779,Hyderabad,1
 Hyd Selfie Museum ,17.57320265,78.5598489,Hyderabad,1
 Salar Jung Museum ,17.37203739,78.4802091,Hyderabad,1
 Go on a Safari in Nehru Zoological Park ,17.35625576,78.45078797,Hyderabad,1
 Qutub Shahi Tombs ,17.39739326,78.39679401,Hyderabad,0
 KBR National Park ,17.420866,78.42309747,Hyderabad,0
 Irani Cafes ,17.43261414,78.41017933,Hyderabad,0
 Relax at the Lumbini Park ,17.41225012,78.47336623,Hyderabad,1
 Shop for Bangles at the Laad Bazaar ,17.36207607,78.47383712,Hyderabad,1
 Stroll in the Inorbit Mall ,17.43522893,78.38665157,Hyderabad,0
 IKEA Hyderabad ,17.43999966,78.37567327,Hyderabad,0
B.M. Birla Planetarium and Science & Technological Museum ,17.40429028,78.47076877,Hyderabad,1
 Hyderabadi Pearl Shopping ,17.42218158,78.45476072,Hyderabad,1
 Sarath City Mall ,17.45829096,78.36399217,Hyderabad,0
 Durgam Cheruvu Bride ,17.43380199,78.39888742,Hyderabad,0
 Hyderabad Botanical Garden ,17.43906774,78.46324414,Hyderabad,1
 Taj Falaknuma Palace ,17.33250318,78.46746466,Hyderabad,1
 Mount Opera Theme Park Resort ,17.42742012,78.40493002,Hyderabad,0
 Necklace Road ,17.43548764,78.47622827,Hyderabad,1
Food in Hyderabad ,17.44375768,78.47845987,Hyderabad,1
  NTR Gardens ,17.43540575,78.47592787,Hyderabad,1
Shilparamam Uppal ,17.44375768,78.47845987,Hyderabad,1
 Chilkur Balaji Temple ,17.41339283,78.46913897,Hyderabad,1
 Iskcon temple ,17.38426059,78.55672699,Hyderabad,0
 Tank Bund ,17.35950239,78.29873563,Hyderabad,2
Forum Sujana Mall ,17.52090827,78.41550782,Hyderabad,0
  Sanjeevaiah Park ,17.41850712,78.48144803,Hyderabad,1
 Mecca Masjid ,17.508006,78.38673343,Hyderabad,1
 Sudha Cars Museum ,17.4397689,78.47483109,Hyderabad,1
Purani Haveli ,17.3615883,78.47357116,Hyderabad,1
 Amaravathi ,17.35797546,78.45394776,Hyderabad,1
 Ride Boats at Durgam Cheruvu ,17.36688253,78.48296372,Hyderabad,1
  Paigah Tombs ,17.39037238,78.55946151,Hyderabad,0
Sanghi Temple ,17.43471368,78.39174761,Hyderabad,1
 GVK One Mall ,17.34517077,78.50388417,Hyderabad,1
Aero Plaza Hyderabad Airport ,17.26750419,78.67600947,Hyderabad,0
Buddha Statue Hyderabad ,17.41949213,78.44860411,Hyderabad,1
 Ratnalyam Temple ,17.23839934,78.42944141,Hyderabad,2
 Himayat Sagar Lake ,17.41650731,78.47484421,Hyderabad,1
